
===== Classifying modified proteins as such ====


===== Updating molecular weights of polypeptides from amino acid sequences ====

G1FV3-27621-MONOMER: Updating molecular-weight-seq from NIL to 76.303
G1FV3-26157-MONOMER: Updating molecular-weight-seq from NIL to 48.656
G1FV3-27622-MONOMER: Updating molecular-weight-seq from NIL to 119.088
G1FV3-24581-MONOMER: Updating molecular-weight-seq from NIL to 37.559
G1FV3-29884-MONOMER: Updating molecular-weight-seq from NIL to 90.433
G1FV3-26158-MONOMER: Updating molecular-weight-seq from NIL to 15.756
G1FV3-26159-MONOMER: Updating molecular-weight-seq from NIL to 44.665
G1FV3-27624-MONOMER: Updating molecular-weight-seq from NIL to 50.192
G1FV3-24582-MONOMER: Updating molecular-weight-seq from NIL to 51.727
G1FV3-29885-MONOMER: Updating molecular-weight-seq from NIL to 38.816
G1FV3-26160-MONOMER: Updating molecular-weight-seq from NIL to 18.776
G1FV3-27625-MONOMER: Updating molecular-weight-seq from NIL to 89.66
G1FV3-26161-MONOMER: Updating molecular-weight-seq from NIL to 31.912
G1FV3-29886-MONOMER: Updating molecular-weight-seq from NIL to 32.666
G1FV3-24583-MONOMER: Updating molecular-weight-seq from NIL to 85.791
G1FV3-27626-MONOMER: Updating molecular-weight-seq from NIL to 163.31
G1FV3-26162-MONOMER: Updating molecular-weight-seq from NIL to 170.85
G1FV3-27627-MONOMER: Updating molecular-weight-seq from NIL to 124.07
G1FV3-26163-MONOMER: Updating molecular-weight-seq from NIL to 52.179
G1FV3-27630-MONOMER: Updating molecular-weight-seq from NIL to 102.484

    ::::  Suppressing remaining update messages; please see report file for full output  ::::

G1FV3-24584-MONOMER: Updating molecular-weight-seq from NIL to 137.019
G1FV3-29887-MONOMER: Updating molecular-weight-seq from NIL to 85.962
G1FV3-26164-MONOMER: Updating molecular-weight-seq from NIL to 18.559
G1FV3-27629-MONOMER: Updating molecular-weight-seq from NIL to 47.589
G1FV3-26165-MONOMER: Updating molecular-weight-seq from NIL to 89.039
G1FV3-24585-MONOMER: Updating molecular-weight-seq from NIL to 26.585
G1FV3-29888-MONOMER: Updating molecular-weight-seq from NIL to 7.266
G1FV3-26166-MONOMER: Updating molecular-weight-seq from NIL to 38.511
G1FV3-27631-MONOMER: Updating molecular-weight-seq from NIL to 41.614
G1FV3-26167-MONOMER: Updating molecular-weight-seq from NIL to 68.457
G1FV3-27632-MONOMER: Updating molecular-weight-seq from NIL to 39.969
G1FV3-24586-MONOMER: Updating molecular-weight-seq from NIL to 2.879
G1FV3-29889-MONOMER: Updating molecular-weight-seq from NIL to 88.812
G1FV3-26168-MONOMER: Updating molecular-weight-seq from NIL to 90.972
G1FV3-27633-MONOMER: Updating molecular-weight-seq from NIL to 77.335
G1FV3-26169-MONOMER: Updating molecular-weight-seq from NIL to 23.6
G1FV3-29890-MONOMER: Updating molecular-weight-seq from NIL to 66.848
G1FV3-24587-MONOMER: This protein contains illegal amino acid characters. The molecular weight could not be computed.
G1FV3-27634-MONOMER: Updating molecular-weight-seq from NIL to 68.764
G1FV3-26170-MONOMER: Updating molecular-weight-seq from NIL to 49.306
G1FV3-27635-MONOMER: Updating molecular-weight-seq from NIL to 55.131
